,date,volume,available_volume,anger_score,anticipation_score,disgust_score,fear_score,joy_score,sadness_score,surprise_score,trust_score
0,2022-09-01,10000,9849,8420.731271935741,13897.229882061498,5919.379138072001,8768.081023439712,7399.419573234591,3889.3249491117126,6943.607096044715,8072.454572527123
1,2022-09-02,10000,9759,7756.888313950341,14086.352197928178,5765.850707273834,8209.351090189948,7180.929841201362,4025.60554368491,6461.823803739109,8501.203727859212
2,2022-09-03,10000,9809,8224.552978654026,14556.86122254618,6031.783860841853,7981.841123949506,7426.148744714345,4178.7562873609395,6799.143723952842,8667.17738260738
3,2022-09-04,10000,9844,8583.020102014345,14215.107453232727,6011.666739329068,8475.20038514452,7261.2929564403075,4459.10776262612,6940.2032197472845,8522.502115845078
4,2022-09-05,10000,9848,8400.013916344922,13976.49557778494,6084.126038569549,8424.2459802883,7225.603565707113,4274.675138579262,6589.4208066667925,8272.950311497885
5,2022-09-06,10000,9856,8245.887006706706,12809.226323780835,6451.810648382786,8890.724744152532,6942.01888327685,3957.9235853924683,6517.516857351762,7737.128554482814
6,2022-09-07,10000,9871,8669.319712434844,14714.837754452046,6222.066557465106,8947.93229459271,8087.30522968385,4327.493790155784,7306.249381691377,9346.899998866525
7,2022-09-08,10000,9898,8742.57964569219,14778.263912451557,6511.1572568310885,8575.826984744554,7351.2700216123185,4316.280328282982,7653.415565830942,9127.607972102713
8,2022-09-09,10000,9852,8536.45603667176,13955.59927876162,6279.369925809751,8222.00049203173,7451.5850801535025,4105.398983688489,6661.395396420384,8642.362300648982
9,2022-09-10,10000,9846,8813.015583708515,14234.596970289274,6276.902644197029,8096.410629194781,7747.30358689542,4581.735235909099,7390.78543685646,9087.401394703438
10,2022-09-11,10000,9806,8617.978213260694,13510.591782154997,6177.100284256497,7654.030161845824,7347.192528688954,4028.375112803772,6764.956507541917,8493.929288973895
11,2022-09-12,10000,9872,8500.73917140672,15173.526910024828,6405.077418618833,8289.287411022178,7677.76991167394,4070.1061116416195,6937.046002579466,9720.05589266877
12,2022-09-13,10000,9849,7775.441364170402,12539.722996535847,5863.483625421386,7729.699147651137,6465.885833010388,3715.3629572094733,6739.027035578301,7995.890611683354
13,2022-09-14,10000,9834,8872.090328126273,13253.41447383214,6333.496597012131,7970.093204667733,7131.2329581406575,3835.1538268951645,7030.736183492948,8286.06066644404
14,2022-09-15,10000,9858,9205.519464336958,13689.907115314329,6696.706216060368,8333.30017286384,7450.157641406445,3950.6171533327574,7368.75363766738,9131.646236574801
15,2022-09-16,10000,9813,8267.54609040994,13771.181232903993,6267.421567776957,8044.004541644715,7022.070142851352,4031.8171572618885,6508.934957495119,8348.030837229438
16,2022-09-17,10000,9810,8786.225392676715,14144.773538513717,6617.239559474163,7991.379308033416,7347.853735160578,4469.432715669716,7262.161723676259,8515.48155933392
17,2022-09-18,10000,9848,8611.718100253966,13151.545689985544,6206.820616022185,8102.624998436622,7212.437403700817,3953.5062382220317,6487.0653048130225,8044.505833373722
18,2022-09-19,10000,9828,8783.603745952927,14080.239960596122,6681.443082844672,8533.748324685072,8043.432745165672,4171.430266993712,6942.842232156449,8493.388990070207
19,2022-09-20,10000,9838,8786.217369877326,13947.323149400165,6248.811818587808,8051.059119021054,7013.910718856667,3824.9869130620937,6735.8058137308235,8288.589374811047
20,2022-09-21,10000,9851,8457.761388244799,13953.321255044562,6692.140831274891,8219.846894599987,7554.000382330416,3881.763159757417,6651.40109562129,8184.087561918544
21,2022-09-22,10000,9841,8699.59499378816,14680.164893729181,6932.866395730934,8354.218674237287,7613.969624831338,4161.5006243961025,7082.32518195097,9216.267896729132
22,2022-09-23,10000,9854,8851.247927714541,15238.078986524237,6699.754931301799,8590.066773340215,7788.747138610001,4194.754528375716,6794.574541434851,8913.737384135742
23,2022-09-24,10000,9870,9219.03104567495,14652.575810856479,6551.922689336955,8427.30164974955,7568.529172886547,4148.875839258975,7171.769133828364,9008.889479078991
24,2022-09-25,10000,9850,8708.492022275703,13944.141689969383,6075.226210073457,8308.213779391665,7511.3308534791295,4261.53461764481,6911.980981981726,8715.449731047585
25,2022-09-26,10000,9858,8528.024736898557,15104.033275192385,6216.742131766653,8876.155677522676,7363.203484946186,4231.533200075348,6997.127613840792,8471.916495685404
26,2022-09-27,10000,9832,8277.832974406227,13971.906356419502,6102.939515006214,8214.887994878267,7036.3428526862035,3887.0838413352417,6628.742885243461,8885.403958990953
27,2022-09-28,10000,9838,8252.163734453537,14205.384100893973,6102.125922573794,8581.849590037038,6846.503934610426,4170.140374785276,6559.836491335734,8260.349995209144
28,2022-09-29,10000,9845,8349.125681067771,14063.50579102575,6049.196606041075,8013.015284584773,6869.393877242853,4230.165481258479,6593.944676431007,8400.322250540245
29,2022-09-30,10000,9859,9025.307850152521,14569.519439974227,6355.9683832544315,8323.344984823125,7021.95899070255,4537.135894414449,6982.76950120198,8255.48330167504
